ID,Source,Source Approach,Source Type,Clause,Class,Datapoint,Aligned Datapoint,Impact Category,Impact Subcategory,Applies To,Asset,Asset Level,Datapoint Type,Requirement Type,Generally Needed,Impact Type,Indicator,Information Container,Asset Type,
1820,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,achieves the highest available recognition in the category of Energy.,Energy Efficiency,Climate Health,Energy,achieves highest available recognition in the GBC category for Energy,,Building,Binary,Evidence,-,,Carbon footprint,Green Building Certification,,
1821,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,reduction of EUI ,Energy Use Intensity (EUI) ,Climate Health,Energy,% reduction in EUI,,Building,Quantitative,Evidence,,,Carbon footprint,Energy Audit/ Building Survey,,
1822,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,EUI ,Energy Use Intensity (EUI) ,Climate Health,Energy,EUI after renovation project,,Building,Quantitative,Evidence,,,Carbon footprint,Energy Audit/ Building Survey,,
1823,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"at least 15%, ",Energy Use Intensity (EUI) ,Climate Health,Energy,reduction is ? 15%,,Building,Binary,Evidence,,,Carbon footprint,Energy Audit/ Building Survey,,
1824,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"initial EUI and the estimated improvement is based on a detailed building survey, an energy audit conducted by an accredited independent expert or any other transparent and proportionate method and validated through an Energy Performance Certificate;",Energy Use Intensity (EUI) ,Climate Health,Energy,"initial EUI and estimated improvement is based on a transparent and proportionate method, validated through an Energy Performance Certificate",,Building,Binary,Compliance,-,,Carbon footprint,Energy Audit/ Building Survey,,
1824,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"initial EUI and the estimated improvement is based on a detailed building survey, an energy audit conducted by an accredited independent expert or any other transparent and proportionate method and validated through an Energy Performance Certificate;",Energy Use Intensity (EUI) ,Climate Health,Energy,initial EUI and estimated improvement is based on detailed building survey,,Building,Binary,Compliance,-,,Carbon footprint,Energy Audit/ Building Survey,,
1824,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"initial EUI and the estimated improvement is based on a detailed building survey, an energy audit conducted by an accredited independent expert or any other transparent and proportionate method and validated through an Energy Performance Certificate;",Energy Use Intensity (EUI) ,Climate Health,Energy,initial EUI and estimated improvement is based on energy audit conducted by an accredited independent expert,,Building,Binary,Compliance,-,,Carbon footprint,Energy Audit/ Building Survey,,
1825,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,improvement results from an actual reduction in EUI\,Energy Use Intensity (EUI) ,Climate Health,Energy,EUI improvement results from an actual reduction in EUI ,,Building,Binary,Evidence,-,,Carbon footprint,Utility Bills,,
1826,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,achieved through a succession of measures within a maximum of three years;,Energy Use Intensity (EUI) ,Climate Health,Energy,EUI improvement can be achieved in ? 3 years,,Building,Binary,Evidence,-,,Carbon footprint,Management Plan,,
1827,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"certified under a national GBC program,",Energy Efficiency,Climate Health,Energy,certified under a national Green Building Certification (GBC) programme,,Building,Binary,Evidence,-,,Carbon footprint,Green Building Certification,,
1828,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,recognised by AMS ,Measures are in place,Climate Health,Energy,GBC programme is recognised by Asian Member States,,Project,Binary,Compliance,-,,Carbon footprint,Green Building Certification,,
1829,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,through industry association ,Measures are in place,Climate Health,Energy,GBC programme is recognised through industry association ,,Project,Binary,Compliance,-,,Carbon footprint,Green Building Certification,,
1830,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,relevant for that jurisdiction.,Measures are in place,Climate Health,Energy,GBC programme is relevant for local jurisdiction,,Project,Binary,Compliance,-,,Carbon footprint,Green Building Certification,,
1831,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,implemented physical and non-\nphysical solutions ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,implemented physical and non-physical solutions (‘adaptation solutions’) ,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1832,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,substantially\nreduce the most important physical climate risks ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ substantially reduce physical climate risks ,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1833,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,physical climate risks that are material to the activity have\nbeen identified ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,physical climate risks that are material to the project are identified ,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1834,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,climate projections and assessment of impacts are based on best practice and available guidance ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,climate projections and assessment of impacts are based on best practice and available guidance ,,Building,Binary,Verification,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1835,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"affect the adaptation efforts or the level of resilience to physical climate risks of other people,",Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented affect adaptation efforts or level of resilience to physical climate risks of other people,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1836,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"of\nnature,",Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented affect adaptation efforts or level of resilience to physical climate risks of nature,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1837,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"of cultural heritage,",Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented affect adaptation efforts or level of resilience to physical climate risks of cultural heritage,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1838,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,of assets ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented affect adaptation efforts or level of resilience to physical climate risks of assets,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1839,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,of other economic\nactivities;,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented affect adaptation efforts or level of resilience to physical climate risks of other economic activities,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1840,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,favour nature-based solutions ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented favour nature-based solutions,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1841,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,rely on blue or green infrastructure to the extent possible;,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented rely on blue or green infrastructure to the extent possible,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1842,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"consistent with local, sectoral, regional or national adaptation plans and strategies;",Climate Change Adaptation,Climate Health,Climate Resilience Strategies,"‘adaptation solutions’ implemented are consistent with local, sectoral, regional or national adaptation plans and strategies",,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1843,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,monitored and measured against pre-defined indicators ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented are monitored and measured against pre-defined indicators ,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1844,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,remedial action is considered where those indicators are not met;,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,remedial action is considered where indicators are not met,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1845,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,solution implemented is physical ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solution’ implemented is physical,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1846,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"consists in an activity for which technical screening criteria have been specified,",Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solution’ implemented consists in an activity for which technical screening criteria have been specified,,Building,Binary,Compliance,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1847,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,solution complies with the do no significant harm technical screening criteria ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,"‘adaptation solution’ implemented complies with the do no significant harm technical screening criteria, where specified",,Building,Binary,Compliance,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1848,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,% of the existing building structure ,% by mass,Circular Economy,Material Circularity,% of the existing building structure and envelope retained,,Building,Quantitative,Evidence,-,,Material Use,Calculation/ Drawing,,
1848,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,% of the existing building structure ,% by mass,Circular Economy,Material Circularity,? 75% of the existing building structure and envelope is retained,,Building,Binary,Evidence,-,,Material Use,Calculation/ Drawing,,
1849,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,and envelope ,-,Asset Integrity,,-,-,Building,-,-,-,,-,-,,
1850,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"for at least 30% of the entire completed building,",% by mass,Circular Economy,Material Circularity,% of completed building non-structural interior components retained,,Material,Calculated,Evidence,-,,Material Use,Calculation/ Drawing,,
1850,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"for at least 30% of the entire completed building,",% by mass,Circular Economy,Material Circularity,? 30% of completed building non-structural interior components are retained,,Material,Calculated,Evidence,-,,Material Use,Calculation/ Drawing,,
1851,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"minimum of 10% reduction,",Life Cycle Impact Reduction,Ecosystem Health,Lifecycle Enviromental,% reduction in LCA impact categories compared to baseline building,,Building,Quantitative,Evidence,-,,Material Use,Life Cycle Assessment,,
1851,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"minimum of 10% reduction,",Life Cycle Impact Reduction,Ecosystem Health,Lifecycle Enviromental,? 10% reduction in LCA impact categories compared to baseline building,,Building,Binary,Evidence,-,,Material Use,Life Cycle Assessment,,
1852,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"baseline building,",Life Cycle Impact Reduction,Ecosystem Health,Lifecycle Enviromental,LCA impacts of baseline building,,Building,Quantitative,Evidence,-,,Material Use,Life Cycle Assessment,,
1853,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,at least three of the six impact categories ,Life Cycle Impact Reduction,Ecosystem Health,Lifecycle Enviromental,? 3 of the 6 impact categories in LEED v4.1 Building Lifecycle Reduction Criteria,,Building,Quantitative,Verification,-,,Material Use,Life Cycle Assessment,,
1854,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,global warming potential.,Life Cycle Impact Reduction,Ecosystem Health,Lifecycle Enviromental,one impact category achieving ? 10% reduction is global warming potential,,Building,Binary,Verification,-,,Material Use,Life Cycle Assessment,,
1855,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,% of the existing building structure ,% by mass,Circular Economy,Material Circularity,? 45% of the existing building structure and envelope is retained,,Building,Binary,Evidence,-,,Material Use,Calculation/ Drawing,,
1856,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,and envelope ,-,Asset Integrity,,-,-,Building,-,-,-,,-,-,,
1857,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"for at least 30% of the entire completed building,",% by mass,Circular Economy,Material Circularity,? 30% of completed building non-structural interior components are retained,,Material,Calculated,Evidence,-,,Material Use,Calculation/ Drawing,,
1858,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"minimum of 5% reduction,",Life Cycle Impact Reduction,Ecosystem Health,Lifecycle Enviromental,? 10% reduction in LCA impact categories compared to baseline building,,Building,Binary,Evidence,-,,Material Use,Life Cycle Assessment,,
1859,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,baseline building ,Life Cycle Impact Reduction,Ecosystem Health,Lifecycle Enviromental,LCA impacts of baseline building,,Building,Quantitative,Evidence,-,,Material Use,Life Cycle Assessment,,
1860,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,least three of the six impact categories ,Life Cycle Impact Reduction,Ecosystem Health,Lifecycle Enviromental,? 3 of the 6 impact categories in LEED v4.1 Building Lifecycle Reduction Criteria,,Building,Quantitative,Verification,-,,Material Use,Life Cycle Assessment,,
1861,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,global warming potential.,Life Cycle Impact Reduction,Ecosystem Health,Lifecycle Enviromental,one impact category achieving ? 10% reduction is global warming potential,,Building,Binary,Verification,-,,Material Use,Life Cycle Assessment,,
1862,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,definition of key performance indicators ,Waste Management Route,Circular Economy,Waste Management,key performance indicators defined and agreed with client,,Building,Qualitative,Evidence,-,,Waste Management,Site Waste Management Plan,,
1863,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,target ambition level;,Waste Management Route,Circular Economy,Waste Management,targets against KPIs,,Building,Quantitative,Evidence,-,,Waste Management,Site Waste Management Plan,,
1864,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,identification  of project-specific  constraints ,Demolition / Deconstruction Method,Circular Economy,Waste Management,project-specific constraints identified,,Building,Binary,Evidence,-,,Waste Management,Site Waste Management Plan,,
1865,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,how to minimise these constraints;,Demolition / Deconstruction Method,Circular Economy,Waste Management,strategies to minimise constraints agreed with client,,Building,Binary,Evidence,-,,Waste Management,Site Waste Management Plan,,
1866,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,details of the pre-demolition auditing procedure;,Waste Management Route,Circular Economy,Waste Management,pre-demolition auditing procedure agreed with client,,Building,Binary,Evidence,-,,Waste Management,Site Waste Management Plan,,
1867,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"outline  waste  management   plan  that  prioritises   selective deconstruction,  decontamination  and source separation of waste streams.",Demolition / Deconstruction Method,Circular Economy,Waste Management,waste management plan prioritises selective deconstruction,,Building,Binary,Evidence,-,,Waste Management,Site Waste Management Plan,,
1867,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"outline  waste  management   plan  that  prioritises   selective deconstruction,  decontamination  and source separation of waste streams.",Measures are in place,Circular Economy,Waste Management,waste management plan prioritises decontamination and source separation of waste streams,,Site,Binary,Evidence,-,,Waste Management,Site Waste Management Plan,,
1868,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"Where these actions are not prioritised,",-,Asset Integrity,,-,-,Building,-,-,-,,-,-,,
1869,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,explanation is provided to justify why ,Measures are in place,Circular Economy,Waste Management,explanation to justify if deconstruction and source separation are not prioritised,,Site,Qualitative,Evidence,-,,Waste Management,Site Waste Management Plan,,
1870,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,demolition waste generated during the demolition or wrecking activity  is treated in accordance  with regional  waste  legislation;,Measures are in place,Circular Economy,Waste Management,demolition waste treated in accordance with regional waste legislation,,Site,Binary,Compliance,-,,Waste Management,Pre-Demolition Audit,,
1871,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"at least\n90% (by weight) of the non-hazardous demolition waste generated\n \n\n	on the demolition site is prepared for re-use or recycling.",Waste Recovery Rate,Circular Economy,Waste Management,% by weight of non-hazardous demolition waste prepared for reuse or recycling,,Building,Quantitative,Evidence,-,,Waste Management,Pre-Demolition Audit,,
1871,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"at least\n90% (by weight) of the non-hazardous demolition waste generated\n \n\n	on the demolition site is prepared for re-use or recycling.",Waste Recovery Rate,Circular Economy,Waste Management,? 90% by weight of non-hazardous demolition waste is prepared for reuse or recycling,,Building,Binary,Evidence,,,Waste Management,Pre-Demolition Audit,,
1872,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"Where there is no AMS regulation to prescribe percentage,",Waste Recovery Rate,Circular Economy,Waste Management,AMS regulation prescribing % waste recovery rate,,Building,Quantitative,Verification,,,Waste Management,Pre-Demolition Audit,,
1873,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,% for the non-mineral fraction ,Waste Recovery Rate,Circular Economy,Waste Management,% by weight of non-mineral demolition waste prepared for reuse or recycling,,Building,Quantitative,Evidence,-,,Waste Management,Pre-Demolition Audit,,
1873,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,% for the non-mineral fraction ,Waste Recovery Rate,Circular Economy,Waste Management,? 70% by weight of non-mineral demolition waste prepared for reuse or recycling,,Building,Binary,Evidence,-,,Waste Management,Pre-Demolition Audit,,
1874,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,% for mineral fraction ,Waste Recovery Rate,Circular Economy,Waste Management,% by weight of mineral demolition waste prepared for reuse or recycling,,Building,Quantitative,Evidence,-,,Waste Management,Pre-Demolition Audit,,
1874,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,% for mineral fraction ,Waste Recovery Rate,Circular Economy,Waste Management,? 95% by weight of mineral demolition waste prepared for reuse or recycling,,Building,Binary,Evidence,-,,Waste Management,Pre-Demolition Audit,,
1875,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"built before 31 December 2023,",Date of Built,Asset Integrity,,"built before 31 December 2023,",,Building,Binary,Representation,-,,Carbon footprint,Green Building Certification,,
1875,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"built before 31 December 2023,",Date of Built,Asset Integrity,,,,Building,Quantitative,Representation,-,,Carbon footprint,Green Building Certification,,
1876,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,highest possible level of certification ,Energy Efficiency,Climate Health,Energy,achieves highest available recognition in the GBC category for Energy,,Building,Binary,Evidence,-,,Carbon footprint,Green Building Certification,,
1877,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,from those internationally recognised green building certifications (GBC) programs listed ,Energy Efficiency,Climate Health,Energy,certified under an internationally recognised GBC programme,,Building,Binary,Evidence,-,,Carbon footprint,Green Building Certification,,
1878,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"demonstrate consistent requirements with the above-mentioned programs,",-,Asset Integrity,,-,-,Building,-,-,-,,-,-,,
1879,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"have a scoring credit system for energy,",Energy Efficiency,Climate Health,Energy,GBC programme has a scoring credit system for energy,,Building,Binary,Compliance,-,,Carbon footprint,Green Building Certification,,
1880,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,energy  performance  requirements  are consistent and contextually relevant;,Energy Efficiency,Climate Health,Energy,GBC programme requires energy performance consistent with LEED or BREEAM and contextually relevant,,Building,Binary,Compliance,-,,Carbon footprint,Green Building Certification,,
1881,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"built  after  31  December  2023,",Date of Built,Asset Integrity,,"built  after  31  December  2023,",,Building,Binary,Representation,-,,Carbon footprint,Green Building Certification,,
1881,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"built  after  31  December  2023,",Date of Built,Asset Integrity,,,,Building,Quantitative,Representation,-,,Carbon footprint,Green Building Certification,,
1882,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,over 290 kW),Energy Efficiency,Climate Health,Energy,"effective rated output for heating, air con, ventilation systems > 290 kW",,Building,Binary,Evidence,-,,Carbon footprint,Calculation,,
1883,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,effective rated output ,Energy Efficiency,Climate Health,Energy,"effective rated output for heating, air con, ventilation systems",,Building,Quantitative,Evidence,-,,Carbon footprint,Calculation,,
1884,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,operated through energy performance monitoring and assessment.,Energy Efficiency,Climate Health,Energy,"heating, air con, ventilation systems operated with energy performance monitoring and assessment",,Building,Binary,Evidence,-,,Carbon footprint,Management Plan,,
1885,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,built before 31 December 2023 ,Date of Built,Asset Integrity,,"built before 31 December 2023,",,Building,Binary,Representation,-,,Carbon footprint,Green Building Certification,,
1886,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,has certification from an applicable internationally recognised GBC program ,Energy Efficiency,Climate Health,Energy,certified under an internationally recognised GBC programme,,Building,Binary,Evidence,-,,Carbon footprint,Green Building Certification,,
1887,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,demonstrate consistent requirements  with  the  above-mentioned  programs ,-,Asset Integrity,,-,-,Building,-,-,-,,-,-,,
1888,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,energy performance  requirements are consistent and contextually relevant;,Energy Efficiency,Climate Health,Energy,GBC programme requires energy performance consistent with LEED or BREEAM and contextually relevant,,Building,Binary,Compliance,-,,Carbon footprint,Green Building Certification,,
1889,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,prepared and\nprovided ,Energy Efficiency,Climate Health,Energy,Energy Efficiency Improvement Plan is prepared,,Building,Binary,Evidence,-,,Carbon footprint,Management Plan,,
1890,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,upon implementation will lead to a reduction of the current\nEnergy Usage Intensity (EUI).\,Energy Efficiency,Climate Health,Energy,implementation of Energy Efficiency Improvement Plan will lead to a reduction of Energy Usage Intensity (EUI),,Building,Binary,Evidence,-,,Carbon footprint,Management Plan,,
1891,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,physical and non-\nphysical solutions (‘adaptation solutions’) ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,implemented physical and non-physical solutions (‘adaptation solutions’) ,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1892,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,substantially\nreduce the most important physical climate risks ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ substantially reduce physical climate risks ,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1893,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,physical climate risks that are material to the activity have\nbeen identified ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,physical climate risks that are material to the project are identified ,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1894,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,based on best practice and available guidance ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,climate projections and assessment of impacts are based on best practice and available guidance ,,Building,Binary,Verification,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1895,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"affect the adaptation efforts or the level of resilience to physical climate risks of other people,",Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented affect adaptation efforts or level of resilience to physical climate risks of other people,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1896,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"of\nnature,",Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented affect adaptation efforts or level of resilience to physical climate risks of nature,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1897,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"of cultural heritage,",Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented affect adaptation efforts or level of resilience to physical climate risks of cultural heritage,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1898,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,of assets ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented affect adaptation efforts or level of resilience to physical climate risks of assets,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1899,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,of other economic activities;,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented affect adaptation efforts or level of resilience to physical climate risks of other economic activities,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1900,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,favour nature-based solutions or rely on blue or green\ninfrastructure to the extent possible;,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented favour nature-based solutions,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1900,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,favour nature-based solutions or rely on blue or green\ninfrastructure to the extent possible;,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented rely on blue or green infrastructure to the extent possible,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1901,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"consistent with local, sectoral, regional or national adaptation plans and strategies;",Climate Change Adaptation,Climate Health,Climate Resilience Strategies,"‘adaptation solutions’ implemented are consistent with local, sectoral, regional or national adaptation plans and strategies",,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1902,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,monitored and measured against pre-defined indicators ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solutions’ implemented are monitored and measured against pre-defined indicators ,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1903,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,remedial action is considered where those indicators are not met;,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,remedial action is considered where indicators are not met,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1904,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,solution implemented is physical ,Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solution’ implemented is physical,,Building,Binary,Evidence,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
1905,ASEAN,Top-down,Regulation,ASEAN_Appendix_B,Data point,"consists in\nan activity for which technical screening criteria have been specified,",Climate Change Adaptation,Climate Health,Climate Resilience Strategies,‘adaptation solution’ implemented consists in an activity for which technical screening criteria have been specified,,Building,Binary,Compliance,-,,Physical Climate Risk,"Climate Risk and 
Vulnerability Assessment",,
